matricula,p1,p2,p3,final,alumno,clave_asig,asignatura,seccion,periodo,num_docente,docente
W1OFOONFO,10.0,10.0,10.0,10.0,Jennifer Brown,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONGW,10.0,9.0,10.0,10.0,Heather Osborne,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOOFN9,8.0,10.0,9.0,9.0,Amy Robinson,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONFW,9.0,10.0,10.0,10.0,Frank Green,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
GOOFOOOOW,10.0,10.0,10.0,10.0,Stephen Mason,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOOFNO,9.0,10.0,10.0,10.0,Jill Chandler,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONGO,7.0,7.0,10.0,8.0,Derek Wheeler,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONF3,1.0,0.0,0.0,1.0,Ryan Conrad,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONFO,10.0,10.0,9.0,9.0,Brandy Glass,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONFW,9.0,9.0,10.0,10.0,Carl Myers,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONGG,9.0,10.0,10.0,9.0,Nicholas Lloyd,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONNF,7.0,10.0,9.0,10.0,Miss Amanda Lewis,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONFN,9.0,10.0,10.0,10.0,John Carlson,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONG1,10.0,9.0,10.0,9.0,Maria Arnold,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOOFN3,9.0,8.0,10.0,9.0,Mark Santos,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONWG,10.0,10.0,9.0,10.0,Brianna Daniel,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONW3,9.0,10.0,9.0,9.0,James Novak,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
W1OFOONGG,10.0,10.0,10.0,10.0,Ashley Weber,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
