matricula,p1,p2,p3,final,alumno,clave_asig,asignatura,seccion,periodo,num_docente,docente
200300886,10.0,10.0,10.0,10.0,Karla Cunningham,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,10.0,9.0,10.0,10.0,Kenneth Grant,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,8.0,10.0,9.0,9.0,Craig Mercado,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,10.0,10.0,10.0,Leah White,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,10.0,10.0,10.0,10.0,Amanda Scott,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,10.0,10.0,10.0,Brent Cole,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,7.0,7.0,10.0,8.0,Kimberly Lucas,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,1.0,0.0,0.0,1.0,Megan Thomas,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,10.0,10.0,9.0,9.0,John Stanley,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,9.0,10.0,10.0,Jared Parrish,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,10.0,10.0,9.0,Vincent Cooper,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,7.0,10.0,9.0,10.0,Daniel Phillips,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,10.0,10.0,10.0,Grace Bowers,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,10.0,9.0,10.0,9.0,Christine Parker,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,8.0,10.0,9.0,Stephen Henry,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,10.0,10.0,9.0,10.0,Kyle Logan,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,9.0,10.0,9.0,9.0,Paul Williams,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
200300886,10.0,10.0,10.0,10.0,Brandon Harrison,IA0209,Ecuaciones diferenciales,1,202101 Primavera,GROG,docente GROG
